(131,49,61),(107,65,80),(114,70,82),(119,74,87),(122,81,90),(128,87,96),(131,96,103),(137,102,109),(140,110,116),(141,112,117),(138,112,116),(131,106,109),(125,98,102),(120,93,97),(162,62,66),(208,34,35),
(106,48,62),(80,68,84),(91,77,91),(99,85,99),(104,93,104),(113,101,112),(115,111,119),(122,118,126),(121,125,129),(121,125,131),(117,124,128),(108,116,120),(96,102,107),(85,91,96),(136,60,64),(206,31,32),
(100,43,53),(77,66,79),(97,81,93),(108,93,105),(119,107,115),(130,117,126),(134,126,133),(137,129,136),(131,131,135),(127,126,131),(114,120,123),(100,107,109),(79,87,91),(61,70,74),(118,44,49),(198,25,27),
(96,39,49),(80,68,80),(102,86,97),(122,106,118),(136,123,131),(150,136,145),(152,144,152),(152,143,151),(142,140,145),(132,131,136),(112,117,120),(92,97,100),(65,73,77),(44,52,56),(105,31,35),(192,18,20),
(96,40,45),(79,69,74),(105,86,92),(127,108,114),(146,125,132),(160,138,146),(162,148,155),(161,146,154),(148,140,148),(135,127,135),(112,111,115),(87,87,92),(61,64,70),(41,45,50),(102,27,32),(188,14,16),
(98,41,46),(77,66,71),(99,79,85),(115,95,102),(132,108,116),(143,119,126),(144,127,135),(144,127,134),(130,120,127),(118,108,115),(98,95,101),(83,81,86),(64,67,72),(50,52,58),(107,31,36),(189,15,17),
(106,44,45),(81,65,66),(100,70,76),(108,78,83),(119,81,91),(121,83,93),(118,81,96),(114,78,92),(99,75,85),(97,72,83),(86,73,82),(86,73,82),(80,74,83),(76,70,79),(126,46,52),(196,20,23),
(110,48,49),(84,67,68),(97,65,71),(96,64,71),(100,59,70),(93,52,63),(84,45,61),(79,40,56),(69,43,55),(74,49,59),(73,59,68),(83,69,79),(88,82,91),(95,89,98),(141,61,68),(203,27,30),
(117,49,52),(89,63,67),(105,55,67),(100,50,62),(98,38,56),(90,30,48),(80,24,45),(79,23,44),(73,31,47),(78,37,53),(74,51,63),(88,65,77),(92,84,93),(104,95,105),(148,69,75),(207,30,33),
(120,51,55),(90,64,69),(107,56,69),(101,50,63),(98,37,56),(89,28,46),(80,23,44),(78,22,43),(75,33,50),(83,41,58),(78,55,68),(89,66,79),(93,85,95),(103,95,105),(148,69,75),(206,30,33),
(123,54,60),(93,67,74),(112,57,74),(108,53,69),(108,39,60),(100,30,51),(91,26,48),(91,26,48),(83,37,54),(91,45,63),(82,59,72),(92,70,82),(90,86,95),(98,95,103),(145,67,73),(205,29,32),
(122,54,60),(93,68,75),(113,59,75),(109,55,71),(111,42,63),(104,35,56),(95,30,52),(95,30,52),(87,40,58),(95,48,66),(86,63,76),(95,71,83),(90,86,95),(96,92,100),(143,64,70),(203,28,30),
(119,56,60),(88,70,74),(109,59,74),(105,54,69),(110,43,63),(105,38,59),(99,34,56),(98,33,55),(93,42,61),(101,50,70),(92,67,80),(99,74,87),(88,87,95),(92,91,98),(140,62,67),(202,26,29),
(121,57,60),(90,71,75),(108,58,72),(103,53,68),(110,43,63),(106,39,60),(101,36,58),(100,35,57),(95,43,63),(102,51,70),(93,67,80),(99,73,86),(87,85,93),(88,86,94),(137,59,64),(201,25,28),
(125,61,65),(95,76,80),(111,63,77),(104,56,70),(109,45,64),(104,39,59),(104,35,58),(104,35,58),(99,41,61),(104,46,65),(96,62,76),(102,68,81),(88,77,88),(88,77,88),(133,53,60),(199,22,25),
(129,65,68),(100,80,84),(115,67,81),(108,60,74),(111,46,65),(105,40,60),(103,33,57),(102,32,56),(96,38,57),(100,41,61),(89,53,67),(93,57,72),(81,69,80),(82,70,81),(128,48,55),(197,20,23),
(134,66,71),(106,82,88),(118,68,83),(110,60,75),(115,46,67),(108,39,60),(107,32,55),(103,29,52),(97,30,50),(100,33,54),(90,42,58),(94,45,62),(81,58,72),(84,61,75),(131,43,53),(199,19,23),
(134,67,72),(106,82,88),(117,67,82),(110,60,75),(115,46,66),(108,39,59),(105,30,53),(101,26,49),(94,27,47),(98,30,50),(90,41,58),(97,48,65),(86,62,77),(91,67,81),(138,49,59),(202,22,26),
(138,67,73),(108,79,86),(119,64,81),(112,57,73),(114,43,62),(106,35,54),(105,26,48),(103,24,46),(98,24,47),(102,28,50),(101,45,64),(114,59,78),(107,78,92),(113,83,98),(152,60,71),(207,25,30),
(138,66,72),(108,78,85),(117,61,77),(109,53,69),(111,38,58),(103,30,50),(103,23,45),(102,23,45),(100,25,48),(106,32,55),(108,53,72),(126,71,90),(124,94,109),(129,100,115),(159,69,79),(210,29,33),
(134,61,68),(104,73,81),(114,57,72),(106,49,64),(108,34,55),(101,27,47),(104,20,42),(105,22,43),(105,28,50),(114,38,59),(111,58,76),(127,74,92),(120,95,108),(122,97,110),(153,67,76),(207,27,31),
(126,52,59),(94,63,71),(108,51,66),(101,44,59),(105,31,51),(99,26,46),(104,20,42),(105,22,43),(106,29,50),(115,39,59),(110,57,75),(119,67,85),(106,82,95),(105,81,94),(140,54,62),(201,22,26),
(119,43,48),(88,53,60),(100,43,58),(97,40,54),(105,29,48),(101,25,44),(104,21,40),(106,23,42),(103,28,46),(112,36,54),(100,51,68),(104,56,73),(83,68,80),(80,64,76),(123,43,49),(194,17,20),
(113,36,42),(81,45,52),(94,36,51),(93,35,50),(102,26,45),(100,24,43),(106,23,42),(107,24,43),(105,29,47),(109,33,51),(91,43,60),(92,44,61),(69,53,65),(65,50,62),(113,33,40),(191,14,17),
(111,32,39),(78,40,48),(92,33,48),(91,32,47),(100,24,43),(100,24,43),(106,23,42),(107,24,43),(103,28,44),(105,30,46),(82,39,52),(82,39,51),(60,47,56),(56,43,52),(108,30,36),(189,13,16),
(111,32,39),(77,39,47),(90,31,46),(89,29,45),(98,22,40),(98,22,40),(104,20,39),(106,22,41),(101,26,41),(102,27,42),(79,36,48),(79,36,48),(58,44,53),(54,40,49),(107,27,33),(188,12,15),
(113,32,39),(80,40,49),(93,32,46),(90,29,43),(99,21,39),(98,20,37),(102,17,34),(104,19,36),(98,23,36),(100,25,39),(80,35,46),(82,37,47),(62,42,51),(57,37,46),(109,24,30),(189,10,13),
(117,36,43),(86,45,54),(97,36,50),(94,32,46),(101,22,40),(98,20,37),(103,17,34),(103,18,35),(98,23,36),(101,25,39),(82,37,46),(83,38,47),(64,43,51),(58,37,45),(109,24,28),(189,10,12),
